tunner;day_time;song;artist
icat;2018/04/13 - 12:52:02;WANNABE;SPICE GIRLS
icat;2018/04/13 - 12:55:10;YOU KNOW IT'S RIGHT;STAY
icat;2018/04/13 - 12:58:19;EL BON AMOR;JOAN MASDÉU
icat;2018/04/13 - 13:04:31;SUMMER DAYS (ROOSEVELT REMIX);RHYE
icat;2018/04/13 - 13:07:39;HORSERIDING;ANOTHER SUNNY DAY
icat;2018/04/13 - 13:09:10;ANOTHER ROAD;MORGAN
icat;2018/04/13 - 13:13:44;NO PEACE;SYD ARTHUR
icat;2018/04/13 - 13:16:52;TAN VALENT;THE NEW RAEMON
icat;2018/04/13 - 13:19:55;TO ROME;DEEPEND
icat;2018/04/13 - 13:21:32;ANOTHER ONE BITES THE DUST;QUEEN
icat;2018/04/13 - 13:24:40;QUI T'ESTIMA;GENER
icat;2018/04/13 - 13:29:20;EASY BABY;HUDSON TAYLOR
icat;2018/04/13 - 13:32:24;BASEBALL;HIPPO CAMPUS
icat;2018/04/13 - 13:37:04;BELLAVISTA;ILLA CAROLINA
icat;2018/04/13 - 13:40:12;IN TROUBLE;JOEL SARAKULA
icat;2018/04/13 - 13:43:20;SOMEDAY;PALE SEAS
icat;2018/04/13 - 13:46:28;LA PALMERA;NICO ROIG
icat;2018/04/13 - 13:49:33;REAL GONE KID;DEACON BLUE
icat;2018/04/13 - 13:54:11;BLOSSOM;MILKY CHANCE
icat;2018/04/13 - 13:57:21;EN DIFERENTS PAPERS;ORIOL BARRI
icat;2018/04/13 - 14:00:30;FIGHT OR FLIGHT OR DANCE ALL NIGHT;KOMMODE
icat;2018/04/13 - 14:05:11;BOYFRIEND (REPEAT);CONFIDENCE MAN
icat;2018/04/13 - 14:09:51;BILL DRUMMOND SAID;JULIAN COPE
icat;2018/04/13 - 14:11:25;LOVE ME DO;ROLLER DISCO COMBO
icat;2018/04/13 - 14:14:33;NOSTÀLGIA OLÍMPICA;MARETA BUFONA
icat;2018/04/13 - 14:17:40;LOVE YOU SO BAD;EZRA FURMAN
icat;2018/04/13 - 14:20:49;LADY MARMALADE;LABELLE
icat;2018/04/13 - 14:23:59;PEDRES ALS AVIONS;OQUES GRASSES
icat;2018/04/13 - 14:27:01;WISH (FEAT. TRIPPIE REDD);DIPLO
icat;2018/04/13 - 14:30:09;SPIRAL SKIES;THE LAZY LIES
icat;2018/04/13 - 14:33:14;AIXÒ ÉS CASA NOSTRA;CORIOLÀ
icat;2018/04/13 - 14:37:54;MI FAMOSO GANCHO DE IZQUIERDA;EGON SODA
icat;2018/04/13 - 14:41:09;DON'T STOP THE DANCE;BIGOTT
icat;2018/04/13 - 14:42:40;PLÀSTIK;BIKIMEL
icat;2018/04/13 - 14:47:14;PERFECT;SMASHING PUMPKINS
icat;2018/04/13 - 14:50:24;HAPPY HOUR;WEEZER
icat;2018/04/13 - 14:53:31;COMEBACK KIDS;THE JAYHAWKS
icat;2018/04/13 - 14:56:38;PARAULES D'UNA DONA SÀVIA;EXILI A ELBA
icat;2018/04/13 - 15:01:20;THERE'S A HONEY;PALE WAVES
icat;2018/04/13 - 15:04:28;BORN IN THE 70'S;ED HARCOURT
icat;2018/04/13 - 15:07:38;PRICE OF FAME;PALOMA FAITH
icat;2018/04/13 - 15:10:44;FOR ELISE;SAINT MOTEL
icat;2018/04/13 - 15:13:53;DIGUEM BLAT;PAU VALLVÉ
icat;2018/04/13 - 15:17:00;WE ALL DIE YOUNG;THE DECEMBERISTS
icat;2018/04/13 - 15:23:12;EL ROURE;SOTRAC
icat;2018/04/13 - 15:42:51;LOST CAT;CATATONIA
icat;2018/04/13 - 15:44:23;NOCHES BLANCAS;DORIAN
icat;2018/04/13 - 15:47:30;TXIN-TXIN;LA TERRASSETA DE PREIXENS
icat;2018/04/13 - 15:50:52;SCROLLING DOWN;BEACH BEACH
icat;2018/04/13 - 15:53:59;WAITING FOR YOU;BEAROID
icat;2018/04/13 - 15:57:04;GROWING FREE (FEAT. REDBLEND);HOMES LLÚDRIGA
icat;2018/04/13 - 16:05:01;IN THE NIGHT;CLAPTONE
icat;2018/04/13 - 16:08:10;WHAT IF;NORA NORMAN
icat;2018/04/13 - 16:11:13;OPTIMISTIC FOOL;THE POOH STICKS
icat;2018/04/13 - 16:12:50;ANA Y LOS PÁJAROS;CHRISTINA ROSENVINGE
icat;2018/04/13 - 16:17:31;LA FLOR;XARIM ARESTÉ
icat;2018/04/13 - 16:22:13;TROUBLE;SAM OUTLAW
icat;2018/04/13 - 16:25:19;DECEMBER, 1963 (OH, WHAT A NIGHT);THE FOUR SEASONS
icat;2018/04/13 - 16:28:29;EL PRIMER MINUT;L'EXÈRCIT D'ISLÀNDIA
icat;2018/04/13 - 16:43:51;DARK DAYS;LOCAL NATIVES
icat;2018/04/13 - 16:46:54;FEEL THE LOVE GO;FRANZ FERDINAND
icat;2018/04/13 - 16:50:02;DE MICA EN MICA;PETIT
icat;2018/04/13 - 16:51:39;WE'RE THE SAME;MATTHEW SWEET
icat;2018/04/13 - 16:54:45;FOR WHAT IT'S WORTH;LIAM GALLAGHER
icat;2018/04/13 - 16:57:58;VENTILADORS;ZOO
icat;2018/04/13 - 17:02:01;no info;no info
icat;2018/04/13 - 17:05:04;LOVE SO SOFT;KELLY CLARKSON
icat;2018/04/13 - 17:06:40;THE DAWN PATROL;RIDE
icat;2018/04/13 - 17:11:21;LET'S GET THIS OVER WITH;THEY MIGHT BE GIANTS
icat;2018/04/13 - 17:14:24;SHORT TERM MEMORY;THE LEGAL MATTERS
icat;2018/04/13 - 17:17:32;DUBTES EN EL VENT;GUIEM SOLDEVILA
icat;2018/04/13 - 17:20:39;LOVE ON THE BRAIN (GIGAMESH REMIX);RIHANNA
icat;2018/04/13 - 17:23:43;CRAZY FEELING;LOU REED
icat;2018/04/13 - 17:26:49;CENT ANYS;DESPERTADORS ATÒMICS
icat;2018/04/13 - 17:29:59;no info;no info
icat;2018/04/13 - 17:31:31;THE WEIGHT IS GONE;ALBIN LEE MELDAU
icat;2018/04/13 - 17:34:40;FURTHER;DJANGO DJANGO
icat;2018/04/13 - 17:43:11;MALDICIÓN;BRIGHTON 64
icat;2018/04/13 - 17:44:44;FEEL IT STILL;PORTUGAL. THE MAN
icat;2018/04/13 - 17:46:19;MÉS FÀCIL;XANGUITO
icat;2018/04/13 - 17:51:03;ROME WASN'T BUILT IN A DAY;MORCHEEBA
icat;2018/04/13 - 17:54:12;MAYBE TOMORROW;STEREOPHONICS
icat;2018/04/13 - 17:57:20;REINA D'ANGLATERRA;SENIOR I EL COR BRUTAL AMB LA SÍNDROME LOMAX
icat;2018/04/13 - 18:00:24;no info;no info
icat;2018/04/13 - 18:05:10;LOSING YOU;BOY PABLO
icat;2018/04/13 - 18:06:43;MY MY MY!;TROYE SIVAN
icat;2018/04/13 - 18:11:23;ALL;SATELLITE STORIES
icat;2018/04/12 - 15:58:14;BIDENT;PAU BLANC
icat;2018/04/12 - 16:04:32;PARALYZED;HARRIET BROWN
icat;2018/04/12 - 16:06:35;SHORT COURT STYLE;NATALIE PRASS
icat;2018/04/12 - 16:10:31;POSITIVITY;SUEDE
icat;2018/04/12 - 16:13:39;ALL THAT MATTERS;NEUMAN
icat;2018/04/12 - 16:16:43;QUANT AMOR TENS A DINS?;GUILLEM RAMISA
icat;2018/04/12 - 16:19:50;LOVE ME RIGHT;AMBER MARK
icat;2018/04/12 - 16:24:29;BLISTER IN THE SUN;VIOLENT FEMMES
icat;2018/04/12 - 16:27:32;PROJECTE 3;ROIG!
icat;2018/04/12 - 16:31:09;NEW HOUSES;TWO DOOR CINEMA CLUB
icat;2018/04/12 - 16:34:14;SALTWATER;GEOWULF
icat;2018/04/12 - 16:39:00;MARIONA;LA IAIA
icat;2018/04/12 - 16:42:04;SIGLO XX;SIDONIE
icat;2018/04/12 - 16:45:11;8TEEN;KHALID
icat;2018/04/12 - 16:48:20;MART A CAPRICORN;ALBERT MOLINA
icat;2018/04/12 - 16:51:23;THE ONLY ONE I KNOW;THE CHARLATANS
icat;2018/04/12 - 16:57:22;EL TRESOR;SENYOR OCA
icat;2018/04/12 - 17:03:59;WAIT;TURIN BRAKES
icat;2018/04/12 - 17:07:20;THE PILOT;CLAP YOUR HANDS SAY YEAH
icat;2018/04/12 - 17:10:23;FARAWAY EYES;GORKY'S ZYGOTIC MYNCI
icat;2018/04/12 - 17:13:32;HOMEMADE DYNAMITE;LORDE
icat;2018/04/12 - 17:16:39;BOOMERANG;MANEL
icat;2018/04/12 - 17:24:42;DANCING WITH MYSELF;BILLY IDOL
icat;2018/04/12 - 17:27:44;IMPOSSIBLE;DEPT.
icat;2018/04/12 - 17:32:50;COULD'VE BEEN;RYD
icat;2018/04/12 - 17:35:52;SPENT THE DAY IN BED;MORRISSEY
icat;2018/04/12 - 17:39:01;SHUFFLE;BOMBAY BICYCLE CLUB
icat;2018/04/12 - 17:44:24;OXIGEN;NANDO CABALLERO
icat;2018/04/12 - 17:45:58;THAT GIRL;SALUTE
icat;2018/04/12 - 17:49:09;LES OMBRES;NUA
icat;2018/04/12 - 17:52:12;GIRLS ON MY MIND;DAVID BYRNE
icat;2018/04/12 - 17:56:51;RECORDS;MOSTASSA
icat;2018/04/12 - 18:07:14;DRIVIN' ON 9;THE BREEDERS
icat;2018/04/12 - 18:10:20;ANOTHER ROAD;MORGAN
icat;2018/04/12 - 18:14:54;HAZY SHADES;THOMAS COHEN
